如何清空实时目的地	如何取消实时目的地设置
12号的超级任务奖励还有几单没到帐？咋天也有一单！！！	未收到奖励
我刚才接的单客户说已经走了我只能改派了，无法取消怎么操作呢，麻烦恁	如何取消订单
车费46.7怎么才给我21.9呀	你们的车费是怎么扣的
能自己选择用哪张吗	优惠券如何使用
昨天夜里萧山机场到同方国际订单乘客不付钱	乘客未支付
费用乱收	司机乱收费怎么办
有笔订单到现在钱都没给	乘客未支付
有预约的就不能接单吗	什么是预约订单
说拼车一口价52，去了折扣还收了60多，打客服永远打不通！什么呀！	客服热线打不通
我得余额是零，该怎么付钱啊	如何支付订单
有二部车要怎么处理	如何更改车辆信息
我上车打客服，把成都的注册地改为乐山，怎么还没回复啊	客服何时回电
一坐就是一个多两个小时没有单子…	系统未播报订单
我的账户被封号了，为什么还有作弊啊？怎么还会扣钱啊	查询扣费明细
滴滴这个软件怎么用	客户端操作流程
有的乘客不按照输入的目的地行驶怎么办	如何修改行程
我抢到一单预约单，还没有点乘客电话，乘客就取消了，请问这样影响我的预约率吗	乘客取消订单是否算取消率
为何无故掉星呢	星级如何评定
为什么我的车只能是A极？	滴滴专车的分类
谁扣了我15.6元	查询扣费明细
车辆升级和车子有关吗	滴滴专车的分类
2月14日19:43接到一单，到了乘客指定地点后，对方取消，请问是否有空驶补贴？谢谢！	如何申请补偿
我高峰期拉的客人没付款过了高峰期付的为什么没有奖励	高峰期订单乘客不支付是否有奖励
今天的导航没有一次是对的，怎么回事呢？	导航规划路线错误
分成：业务x80%-0.5元。以8元为例：8元x80%-0.5元=5.9元，怎么每单都是5.8元？	你们的车费是怎么扣的
我的秘密忘了怎么办呢？	登录密码忘记
请问，我没坐车，为什么现在要我付钱？以至于后面的车都不能打	乘客未上车产生费用
别人有奖励活动，我确没有，怎么会这样	未收到奖励
宿迁快车计费标准	滴滴打车如何计费
夜间不加服务费，比白天还便宜，这不公平	夜间接单有补助吗
提现金额和实际不符，而且钱还没到帐	提现到账时间
支付宝钱包内滴滴专属快车券怎么使用	优惠券如何使用
户口余额怎么显示	如何查询账户余额
为什么嘀嘀打车司机接单没到指定位置接我 我还要支付8元？	乘客未上车产生费用
吉利远景可以加入快车吗？	滴滴专车的分类
昨天有二笔单子被顾客取消可以申请空驶费吗	如何申请补偿
我的问题是.刚才顾客已经做别的车了.他没有取消订单.我这边点不了取消.给我点了改派后.我账户就不能接单了.怎么回事	如何取消订单
为什么完全没有订单。？	系统未播报订单
刚才我接了一个单，然后乘客电话关机，我联系不到他，我等了40分钟，我申请改派了，对我没有什么影响吧？	改派有什么处罚
为什么空驶补贴超过五天了	补偿到账时间
请问提现日到今天的什么时候！	提现的时间
我的注册时注册的是比亚迪F3怎么成了奥迪A4了	如何更改车辆信息
我想修改手机号，原来的号码不想用了	如何更改电话号码
怎么流水6元，我收到4.22元	流水和余额的区别
早高峰翻倍奖励，按接单时间计算吗？	奖励时间怎么计算
改派也没告诉联系客服呀	滴滴的客服电话
要几万的车才行	加入专车需要的条件
我跑17公里，怎么到目的地以后收款只有9元，软件上次升级以后就不显示实时计价信息拉！	司乘双方对费用有疑问怎么办
昨晚21:16的拼车单，乘客22:20已支付43元，怎么没有奖励？帮我查下？	未收到奖励
我的星级因客人恶意评价还没给我修改	乘客评错星级，星级能否修改
8元的订单为什么给我5.8元	你们的车费是怎么扣的
我想问快车费用多了怎么办	司乘双方对费用有疑问怎么办
我发布了订单，但是手机没电了，司机没有接到我，却点了接到我	乘客未上车产生费用
车辆为什么绑定不了	如何更改车辆信息
我不想做滴滴打车啦怎么办？	我要注销滴滴快车账号
我帐号MM忘了咋办	登录密码忘记
新手机注册已经用过的车牌需要申诉吗	注册时提示车牌号已存在
昨天的早晚高峰、平峰抢单奖也没有到账？	未收到奖励
请问：我接单时没有声音提示，只有我低头看才能接单，开车不能看时就成了拒单。手机正常。	软件无声音
新人第一周完成八单怎么计算	新人奖活动周期
为什么乘客付款13元多，我实际到账9元	你们的车费是怎么扣的
我的另一步车号被人用了，怎么处理	注册时提示车牌号已存在
今天绍兴市嵊州市在查滴滴呢，弄的不敢开了	滴滴是不是合法
1月12注册成功的新人奖与朋友的推荐奖怎么还不发放？	未收到推荐奖励
刚才接一单长柏二小区公交站到音乐广场是刷单的，电话是13980926049	作弊举报
30万保障之外摸保障计划是什么	每单五毛钱的保险费用是什么
清理缓存在软件的哪一项里显示	手机如何清理滴滴缓存
我的新人完成5单奖励，什么时候到啊	未收到奖励
账单公里数为什么光出错	计费错误
处理问题速度太慢	客服何时回电
客人没收到支付提示	已结束订单未收到支付消息
我在高峰期接单，昨天完成单数符合奖励条件，为什么收不到？	未收到奖励
我昨天的成交率也够，今天奖励为什么没有	未收到奖励
为什么叫快车时，不能用现金呢，现得是微信支付呢	如何支付订单
新用户接到第一单的奖励什么时候到帐	新人奖活动周期
新年冲单奖拼车怎么算	拼车单怎样计算奖励单数
昨天有一个订单 收了五块钱的停车费 为什么会有这个费用	停车费如何处理
司机郑周新2月15日抢单奖励还没到账，请核实，谢谢！	未收到奖励
21号的抢单奖应该是100 我到账应该是98 ?为什么我才到账70元	收到奖励金额不正确
我推荐怎么没有到啊	未收到推荐奖励
5号有一单师傅抢单未来接，没有取消，一直叫我付款。请问怎么取消	如何取消订单
我推荐的司机已经上线接单多天了，怎么还没有给我推荐奖励啊？	未收到推荐奖励
为什么会出现连续两次订单已被抢的情况	抢单提示被抢
为什么平台在2016.1.31号10.30分扣我49.12元	你们的车费是怎么扣的
第二单免费是什么时候？	优惠活动查询
一朋友想加入快车，可摇不上号，想用外地牌照在天津塘沽跑，可以吗？	可以异地注册滴滴打车吗
我三单五十七为什么只有三十元五角呢	你们的车费是怎么扣的
我刚才接的订单，用导航，导航一直错导，什么垃圾啊，把我导到小巷子里出都出不来	导航规划路线错误
我早上做了一单35元多，为什么到我帐上的只有13元多	你们的车费是怎么扣的
怎么可能呢？乘客主动取消的，全部都算在我们车主头上了！而且主要是刷单不成功取消的订单	乘客取消订单是否算取消率
有隐藏奖励吗	奖励活动有哪些
快车升级专车需要三年以上驾龄吗	快车申请专车考试相关
平时15.2公里，今天司机绕路开了22.7公里，多收了费用，浪费了我的时间，请客服赶紧联络我	司机绕路怎么办
催款流程	乘客未支付
老是说我有欠费没交，不该啊	如何查询订单是否已支付
我星期天晚上遇到一位乘客到现在没有付车费	乘客未支付
我在本月底回安徽老家，能通过你们的平台找到合适的一起拼车回家吗？请问怎么设置？	如何做快车拼车
高速路费是收单程的还是收双程的?	高速费如何处理
前几天接到预约定单后就无法接其它单为何？	接了预约单之后没有单了
高速路费由客户出还是师机出	高速费如何处理
在东莞注册,1,能不能只接抢单服务,不开指派單服务.2,如果不能的话,那么我每天如果抢单5单,那要完成几单指派单才能达标,3,连续几天不出车才会被封	司机如何接单
我是专车司机，请问如何接快车的单子？谢谢	升专车以后是不是就不能拉快车单子了
怎么我的星级是零啊	星级如何评定
请问我今天推荐了一个人滴滴专车司机，他也注册成功，那没有密码登陆	如何获得密码
派单的师付，我和你有仇吗?3公里左右接乘客，今天情人节，1公里要走20分钟，我能不距单吗7	接单距离较远
早高峰2单，晚高峰2单，共4单快车未收到奖励，为什么？	未收到奖励
为什么要无故多收我5.00元？	司乘双方对费用有疑问怎么办
乘客未付款，我能点完成继续听单吗？	已结束订单未收到支付消息
